BirdID,BandID,LPDV,name,mean,lower,upper,Rhat,n.eff,Status
8190_2022,8190,1,int_1,0.758621003,0.645702079,0.869994438,0.999982479,24611,0
8190_2022,8190,1,int_2,1.262757338,1.203357298,1.318441562,1.000285123,26212,0
8190_2022,8190,1,sigma_1,0.178870612,0.141949862,0.216949388,0.999985241,20104,0
8202_2022,8202,0,cp_1,85.50147662,85.02282205,85.97552558,1.000199172,32024,1
8202_2022,8202,0,int_1,0.669716973,0.582291305,0.756949043,1.000026673,27840,1
8202_2022,8202,0,int_2,3.229493832,3.112817349,3.347317363,0.999988792,28007,1
8202_2022,8202,0,sigma_1,0.32597955,0.277122954,0.377050103,1.000335019,25633,1
8203_2022,8203,1,cp_1,81.9902054,79.5482595,84.99804456,1.029354327,1199,0
8203_2022,8203,1,int_1,0.663711394,0.582219803,0.744902637,1.000256965,17941,0
8203_2022,8203,1,int_2,1.257143636,1.148795702,1.362122102,1.000900247,9808,0
8203_2022,8203,1,sigma_1,0.286084033,0.24208758,0.332590833,1.000082157,21828,0
8203_2023,8203,1,cp_1,94.49709254,94.01078903,94.96406622,1.000021462,29546,0
8203_2023,8203,1,int_1,0.387806616,0.320553324,0.455376422,1.000017763,28131,0
8203_2023,8203,1,int_2,1.836791238,1.732500076,1.941836416,1.000389972,29558,0
8203_2023,8203,1,sigma_1,0.271877767,0.233241586,0.312820418,1.000189729,25709,0
8206_2022,8206,0,cp_1,88.5074894,88.02934136,88.98505227,1.000079136,27103,1
8206_2022,8206,0,int_1,0.806759416,0.498628376,1.112020634,1.000241106,26223,1
8206_2022,8206,0,int_2,13.49274048,13.05313102,13.92503055,1.000036303,27531,1
8206_2022,8206,0,sigma_1,1.17701968,1.001444689,1.365482735,1.000151377,24103,1
8207_2022,8207,1,cp_1,102.5000839,101.0576061,103.9064637,1.000081764,31591,1
8207_2022,8207,1,int_1,0.668512638,0.544339014,0.794260492,1.000115168,28391,1
8207_2022,8207,1,int_2,5.234751595,4.950780139,5.502130736,1.000567057,27520,1
