BirdID,name,mean,lower,upper,Rhat,n.eff
8178_2022,cp_1,57.57380372,57.00001764,58.43148279,1.000838322,17044
8178_2022,int_1,0.150023214,-0.082635364,0.380299514,1.00041016,19060
8178_2022,int_2,0.788234462,0.749333039,0.827761143,1.000142304,27517
8178_2022,sigma_1,0.157957272,0.131257336,0.186748244,1.000383008,22356
8179_2022,cp_1,64.76261531,64.00018889,65.82414131,1.055320567,11969
8179_2022,int_1,0.978280825,0.856560419,1.096685283,1.004168595,15219
8179_2022,int_2,1.78122174,1.734265536,1.824970946,1.000305793,22424
8179_2022,sigma_1,0.171031512,0.142099713,0.202757231,1.000647757,21019
8180_2022,cp_1,109.8268434,102.8114245,112.0046077,1.000294974,1301
8180_2022,int_1,0.966905373,0.910352243,1.02108991,1.000016268,7833
8180_2022,int_2,1.522174212,1.357608555,1.66481243,1.000115862,2998
8180_2022,sigma_1,0.191711801,0.158455357,0.226987648,1.000092598,17449
8180_2023,cp_1,68.44930717,61.01493103,70.99988205,1.024790742,97
8180_2023,int_1,0.664585554,0.410776484,0.900157866,1.00705249,578
8180_2023,int_2,1.329667588,1.206276341,1.447931774,1.002882605,1724
8180_2023,sigma_1,0.36527421,0.29729007,0.439624761,1.000864984,12994
8181_2022,cp_1,80.00314319,56.00111672,113.4764202,1.002109571,687
8181_2022,int_1,0.679790303,0.437832453,0.909317154,1.001509526,1163
8181_2022,int_2,0.765496978,0.570639454,0.894008903,1.001264396,1769
8181_2022,sigma_1,0.285657561,0.237416514,0.337128643,1.000013448,22844
8181_2023,cp_1,95.47188718,90.00030703,97.34689415,1.005962598,720
8181_2023,int_1,0.476523627,0.366794156,0.583561584,1.000399092,7308
8181_2023,int_2,1.410012688,1.259318227,1.548976644,1.000694896,3854
8181_2023,sigma_1,0.328367016,0.273143145,0.388857865,1.000075557,21856
8183_2022,cp_1,90.50045748,90.04590385,90.9950769,0.999979224,31576
8183_2022,int_1,1.337038966,1.12843887,1.544689072,1.000001024,27655
8183_2022,int_2,9.247306955,9.023601511,9.474329626,1.00010434,28249
8183_2022,sigma_1,0.629576053,0.524994415,0.746337171,1.000093793,24728
8183_2023,cp_1,111.0774563,109.1599988,112.0000637,1.000289275,8299
8183_2023,int_1,0.686043475,0.607383385,0.766586193,1.000024896,26865
8183_2023,int_2,1.488843518,1.28120879,1.695046312,1.000097212,16831
8183_2023,sigma_1,0.300500385,0.250652766,0.357096426,1.000348978,21006
8184_2022,cp_1,90.50044146,90.02519894,90.97446362,1.000341114,31948
8184_2022,int_1,0.971262027,0.749796595,1.195352454,1.000090227,27460
8184_2022,int_2,9.390105442,9.150322713,9.633091675,1.000123651,27909
8184_2022,sigma_1,0.669045924,0.553909092,0.790617176,1.000127746,23830
8184_2023,cp_1,58.50001341,58.05102257,58.99773457,1.000140437,32758
8184_2023,int_1,0.633719809,0.22442372,1.038813309,1.000132386,28425
8184_2023,int_2,3.239515569,3.132323836,3.344444471,1.000192705,27681
8184_2023,sigma_1,0.42128609,0.348885446,0.497631313,1.000112643,23690
8185_2022,cp_1,64.67480949,63.19374343,67.1818257,1.001009271,2718
8185_2022,int_1,0.56807282,0.393798247,0.754110139,1.000449478,8186
8185_2022,int_2,1.347302449,1.281251527,1.414403927,1.000144015,21160
8185_2022,sigma_1,0.249838802,0.206957823,0.296141961,1.000261167,19140
8187_2022,cp_1,64.26668041,61.48610955,69.05449339,1.000629238,2261
8187_2022,int_1,0.29833277,0.138408734,0.455682629,1.000324296,5700
8187_2022,int_2,0.688459997,0.633843537,0.742910032,1.000294478,17887
8187_2022,sigma_1,0.201806542,0.167703198,0.238983106,1.000036021,21631
8187_2023,cp_1,98.93260265,91.90354695,101.9964864,1.049310836,310
8187_2023,int_1,0.813298236,0.755592323,0.869044869,1.001257506,12411
8187_2023,int_2,1.079276607,0.990268297,1.165957552,1.004706713,2947
8187_2023,sigma_1,0.18488162,0.152795995,0.217369941,1.00068793,15966
8188_2022,cp_1,95.43881908,94.74982127,95.99998704,1.001657583,7960
8188_2022,int_1,0.766908852,0.621540213,0.915487101,1.000007755,27853
8188_2022,int_2,1.908646009,1.754801041,2.06869466,1.000254244,24793
8188_2022,sigma_1,0.392300697,0.316477535,0.473248005,1.000349994,21203
8188_2023,cp_1,82.50079727,82.0295893,82.97880622,1.000127908,31985
8188_2023,int_1,0.832178131,0.725826432,0.937234444,1.00002671,27126
8188_2023,int_2,3.577198818,3.455151921,3.702477546,1.000011558,27942
8188_2023,sigma_1,0.38472692,0.329519388,0.443348742,1.000046004,25031
8189_2022,cp_1,110.4993025,110.0206612,110.969527,0.99998676,32459
8189_2022,int_1,0.862014043,0.798144187,0.924072154,1.000143502,26997
8189_2022,int_2,2.334277377,2.201930149,2.466238332,1.000016513,28273
8189_2022,sigma_1,0.209885562,0.169857145,0.252301075,1.000726892,22979
8190_2022,cp_1,77.59943839,77.00007754,78.7291699,1.001079517,15196
8190_2022,int_1,0.758621003,0.645702079,0.869994438,0.999982479,24611
8190_2022,int_2,1.262757338,1.203357298,1.318441562,1.000285123,26212
8190_2022,sigma_1,0.178870612,0.141949862,0.216949388,0.999985241,20104
