BandID,BirdID,age,studyarea,captyr,Yr,name,mean,upper,lower,LPDV,Status,yrsincecap
8206,8206_2022,1,4D,2022,2022,int_2,13.49274048,13.92503055,13.05313102,0,1,0
8206,8206_2022,1,4D,2022,2022,sigma_1,1.17701968,1.365482735,1.001444689,0,1,0
8207,8207_2022,0,4D,2022,2022,cp_1,102.5000839,103.9064637,101.0576061,1,1,0
8207,8207_2022,0,4D,2022,2022,int_1,0.668512638,0.794260492,0.544339014,1,1,0
8207,8207_2022,0,4D,2022,2022,int_2,5.234751595,5.502130736,4.950780139,1,1,0
8207,8207_2022,0,4D,2022,2022,sigma_1,0.522948578,0.608857838,0.444598625,1,1,0
8208,8208_2022,0,4D,2022,2022,cp_1,79.50035748,79.97724597,79.02858792,0,1,0
8208,8208_2022,0,4D,2022,2022,int_1,1.069144856,1.460901422,0.678748291,0,1,0
8208,8208_2022,0,4D,2022,2022,int_2,19.23400916,19.62310743,18.84346175,0,1,0
8208,8208_2022,0,4D,2022,2022,sigma_1,1.264100576,1.470059565,1.073208384,0,1,0
8209,8209_2023,0,4D,2022,2023,cp_1,79.61832432,80.58624259,79.00003431,1,0,1
8209,8209_2023,0,4D,2022,2023,int_1,0.376066178,0.455915508,0.296524212,1,0,1
8209,8209_2023,0,4D,2022,2023,int_2,1.251075369,1.337527051,1.164460933,1,0,1
8209,8209_2023,0,4D,2022,2023,sigma_1,0.281405242,0.325662341,0.240407123,1,0,1
8209,8209_2022,0,4D,2022,2022,NA,NA,NA,NA,1,0,0
8210,8210_2022,0,4D,2022,2022,cp_1,110.1718456,113.189917,108.0050048,1,0,0
8210,8210_2022,0,4D,2022,2022,int_1,1.342150262,1.417610427,1.263857816,1,0,0
8210,8210_2022,0,4D,2022,2022,int_2,2.000357096,2.220189472,1.781460205,1,0,0
8210,8210_2022,0,4D,2022,2022,sigma_1,0.325809944,0.378551729,0.276913702,1,0,0
8210,8210_2023,0,4D,2022,2023,cp_1,52.48172069,55.99949682,45.22641007,1,0,1
8210,8210_2023,0,4D,2022,2023,int_1,0.263260506,0.370012291,0.157416632,1,0,1
8210,8210_2023,0,4D,2022,2023,int_2,0.52083284,0.579115192,0.462160556,1,0,1
8210,8210_2023,0,4D,2022,2023,sigma_1,0.231870959,0.267366298,0.198098399,1,0,1
8211,8211_2023,0,4D,2022,2023,cp_1,79.65954572,80.68969045,79.00013021,1,0,1
8211,8211_2023,0,4D,2022,2023,int_1,0.395353031,0.478797844,0.314259076,1,0,1
8211,8211_2023,0,4D,2022,2023,int_2,1.257221079,1.34226334,1.171479261,1,0,1
8211,8211_2023,0,4D,2022,2023,sigma_1,0.27842083,0.323410315,0.237034275,1,0,1
8211,8211_2022,0,4D,2022,2022,NA,NA,NA,NA,1,0,0
8212,8212_2022,0,4D,2022,2022,cp_1,38.58585721,39.73782614,38.00000005,1,0,0
8212,8212_2022,0,4D,2022,2022,int_1,0.190673128,0.855547289,-0.437145851,1,0,0
8212,8212_2022,0,4D,2022,2022,int_2,1.648541511,1.750790864,1.551581306,1,0,0
8212,8212_2022,0,4D,2022,2022,sigma_1,0.449199243,0.522337131,0.381929257,1,0,0
8223,8223_2022,0,4D,2022,2022,cp_1,93.38447988,98.9989033,79.55968569,1,1,0
8223,8223_2022,0,4D,2022,2022,int_1,0.777592714,1.01383025,0.515436694,1,1,0
8223,8223_2022,0,4D,2022,2022,int_2,2.405669238,2.744563692,1.929329674,1,1,0
8223,8223_2022,0,4D,2022,2022,sigma_1,0.504416712,0.604760782,0.41172734,1,1,0
8223,8223_2023,0,4D,2022,2023,cp_1,113.4830699,113.9880275,113.0212199,1,1,1
8223,8223_2023,0,4D,2022,2023,int_1,0.885665173,1.029603519,0.741841524,1,1,1
8223,8223_2023,0,4D,2022,2023,int_2,7.538458456,7.999967062,7.064981315,1,1,1
8223,8223_2023,0,4D,2022,2023,sigma_1,0.60720653,0.708668018,0.509345967,1,1,1
8225,8225_2022,0,4D,2022,2022,cp_1,78.50429749,78.99393925,78.01420577,1,0,0
8225,8225_2022,0,4D,2022,2022,int_1,0.646688032,0.746723534,0.548994321,1,0,0
8225,8225_2022,0,4D,2022,2022,int_2,1.4668228,1.55357418,1.380289378,1,0,0
8225,8225_2022,0,4D,2022,2022,sigma_1,0.249012809,0.298270617,0.20404964,1,0,0
8225,8225_2023,0,4D,2022,2023,cp_1,73.24796043,76.90474381,70.96657553,1,0,1
8225,8225_2023,0,4D,2022,2023,int_1,0.42252272,0.552507054,0.292647036,1,0,1
8225,8225_2023,0,4D,2022,2023,int_2,0.974681983,1.075978799,0.874917284,1,0,1
8225,8225_2023,0,4D,2022,2023,sigma_1,0.343140099,0.400336927,0.289141839,1,0,1
8226,8226_2022,0,4D,2022,2022,cp_1,78.50659686,78.98586604,78.03019431,1,0,0
8226,8226_2022,0,4D,2022,2022,int_1,0.424979557,0.507811299,0.340815461,1,0,0
8226,8226_2022,0,4D,2022,2022,int_2,1.27373042,1.342036335,1.205138874,1,0,0
